Name,Distance,Mass(KG),Meters,Gravity
Sun,0.000015813,1.989e+30,695700000.0,274.10478078144416
Sirius,0008.6,4.1769e+30,1189647000.0,196.85374632913812
Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.38559643026986
Altair,0017,3.5802e+30,1252260000.0,152.280433767469
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.74045786566168
Tau Ceti,011.9,1.557387e+30,621260100.0,269.1382688446168
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.5032503053017
Titawin,044.25,2.52603e+30,1029636000.0,158.9267127430762
54 Piscium,036.1,1.51164e+30,653958000.0,235.76237369159972
2MASS J0523-1403,040.3,1.6906499999999995e+30,626130000.0,287.64081933855243
WISE 0855−0714,07.27,1.6906499999999995e+30,626130000.0,287.64081933855243
